#HyperedgeIdentifier	NumBVisit	BVisitNodes	TraversedHedges	RestrictiveHedges
http://identifiers.org/reactome/R-HSA-1251922	2	http://pathwaycommons.org/pc2/Complex_31f6f8c995bdb300a3f9319a60ea7d86;http://pathwaycommons.org/pc2/Protein_73c5ed6d41f88be23269ac69ff149d3a		http://identifiers.org/reactome/R-HSA-1250488;http://identifiers.org/reactome/R-HSA-8864105;http://identifiers.org/reactome/R-HSA-1306963;http://identifiers.org/reactome/R-HSA-1251944
http://identifiers.org/reactome/R-HSA-9013069	1	http://pathwaycommons.org/pc2/Complex_6c8cb2cdecf2e81cdc537f7afad723ad		http://identifiers.org/reactome/R-HSA-9013284
http://identifiers.org/reactome/R-HSA-8985293	1	http://pathwaycommons.org/pc2/Complex_67d5277b9a1933b6077f85d5c6b2175d		http://identifiers.org/reactome/R-HSA-9007686
http://identifiers.org/reactome/R-HSA-9007759	1	http://pathwaycommons.org/pc2/Complex_54c38c2937d710ce846123797ff39578		http://identifiers.org/reactome/R-HSA-9007686
http://identifiers.org/reactome/R-HSA-1791128	1	http://pathwaycommons.org/pc2/Protein_96dd9ac0409cac2524065d4500d7049c		
http://identifiers.org/reactome/R-HSA-8955893	1	http://pathwaycommons.org/pc2/Protein_b093379982fed3886acd58b92d27abfd		
http://identifiers.org/reactome/R-HSA-2972952	1	http://pathwaycommons.org/pc2/Complex_d745f43634a881705db5302f806ad173		
http://identifiers.org/reactome/R-HSA-6796647	1	http://pathwaycommons.org/pc2/Protein_e4660a547e36544cf200a494c9246b59		http://identifiers.org/reactome/R-HSA-6797100;http://identifiers.org/reactome/R-HSA-6797090
http://identifiers.org/reactome/R-HSA-8939900	1	http://pathwaycommons.org/pc2/Protein_db51d2a54ee6909d262b77fc5afec2fb		
http://identifiers.org/reactome/R-HSA-9007686	1	http://pathwaycommons.org/pc2/Protein_1a2df61df8932ca3005256eee548d2c5		
http://identifiers.org/reactome/R-HSA-9007707	1	http://pathwaycommons.org/pc2/Complex_b60cf8ee79d71dc2da50100124c7b4a0		http://identifiers.org/reactome/R-HSA-9007686
http://identifiers.org/reactome/R-HSA-8940032	1	http://pathwaycommons.org/pc2/Complex_2779dc117ed06785ad0eae2915b2d593		http://identifiers.org/reactome/R-HSA-8939900
http://identifiers.org/reactome/R-HSA-452102	2	http://pathwaycommons.org/pc2/Complex_8aeef07fce845d985023820f7e04e546;http://pathwaycommons.org/pc2/Complex_f8f747ab7c7ee7796d1550b8a88249dd	http://identifiers.org/reactome/R-HSA-507937	http://identifiers.org/reactome/R-HSA-8865626;http://identifiers.org/reactome/R-HSA-9012671
http://identifiers.org/reactome/R-HSA-201622	2	http://pathwaycommons.org/pc2/Protein_70ed7b783a498c0488b2f5b9cf9dcd3d;http://pathwaycommons.org/pc2/Protein_4c01bb29a99a5f8b2c26f9eeacfb33c4		
http://identifiers.org/reactome/R-HSA-8853734	1	http://pathwaycommons.org/pc2/Complex_5b4be6828f1417e90f72e8bd11477052		
http://identifiers.org/reactome/R-HSA-5654406	1	http://pathwaycommons.org/pc2/Complex_2ff6352c8704f76fc872a82ba3155aea		http://identifiers.org/reactome/R-HSA-5654402
http://identifiers.org/reactome/R-HSA-9028328	1	http://pathwaycommons.org/pc2/Complex_94b8e47f95d5036c7a148bb4202c5215		http://identifiers.org/reactome/R-HSA-9026891
http://identifiers.org/reactome/R-HSA-8853314	1	http://pathwaycommons.org/pc2/Complex_0f8f1e492a5aeec74690b9664a2208ef		http://identifiers.org/reactome/R-HSA-8853307
http://identifiers.org/reactome/R-HSA-177936	1	http://pathwaycommons.org/pc2/Complex_bb5eb5e8449f96df42684cc701327a6b		http://identifiers.org/reactome/R-HSA-177945
http://identifiers.org/reactome/R-HSA-5654416	1	http://pathwaycommons.org/pc2/Complex_bee54f2c261d0b5dc90fd21252d5ebde		http://identifiers.org/reactome/R-HSA-5654413
http://identifiers.org/reactome/R-HSA-8851804	1	http://pathwaycommons.org/pc2/Complex_950318c92f95a73cd1f21b9311c269e3		http://identifiers.org/reactome/R-HSA-8851827
http://identifiers.org/reactome/R-HSA-186826	1	http://pathwaycommons.org/pc2/Complex_886ca1b7e50ed3f19b1d965379832beb		http://identifiers.org/reactome/R-HSA-186834
http://identifiers.org/reactome/R-HSA-5655266	1	http://pathwaycommons.org/pc2/Complex_080e43f62ec1b993ad83feb9aa450195		http://identifiers.org/reactome/R-HSA-5655326
http://identifiers.org/reactome/R-HSA-1250486	1	http://pathwaycommons.org/pc2/Complex_8e2130fa915fc51fd3f2c562952b820a		http://identifiers.org/reactome/R-HSA-1250463
http://identifiers.org/reactome/R-HSA-981728	1	http://pathwaycommons.org/pc2/Complex_9026e9d0fc5a18c9bc368fd1661ca98a		http://identifiers.org/reactome/R-HSA-977359
http://identifiers.org/reactome/R-HSA-183126	1	http://pathwaycommons.org/pc2/Complex_de05dd2e062e436701867e569d57c903		http://identifiers.org/reactome/R-HSA-183122
http://identifiers.org/reactome/R-HSA-5625774	2	http://pathwaycommons.org/pc2/Complex_2f0885dc5a918c040936f93a74d13e22;http://pathwaycommons.org/pc2/Complex_3ecaedbd870d8daabfe27236a1a5fdfb	http://identifiers.org/reactome/R-HSA-5625784	http://identifiers.org/reactome/R-HSA-5625796
http://identifiers.org/reactome/R-HSA-5625745	1	http://pathwaycommons.org/pc2/Complex_d5230509c7e30317d19f3283d42eb78f		
http://identifiers.org/reactome/R-HSA-9008479	1	http://pathwaycommons.org/pc2/Complex_37eacd7e244ed7665789f5b5fc9d1fe1		http://identifiers.org/reactome/R-HSA-9008475
http://identifiers.org/reactome/R-HSA-2671839	4	http://pathwaycommons.org/pc2/Complex_f54997038a88a4b704bd160adf7d2f27;http://pathwaycommons.org/pc2/Complex_bbd6e12c570c9ef55edbd193e0e1d8c1;http://pathwaycommons.org/pc2/Complex_76f6180ab2349cb1fb5e4b80136ce0cf;http://pathwaycommons.org/pc2/Protein_12ae17d7e8c17e2c2b62dca8901af3cf	http://identifiers.org/reactome/R-HSA-6784765;http://identifiers.org/reactome/R-HSA-6784763	http://identifiers.org/reactome/R-HSA-6789960;http://identifiers.org/reactome/R-HSA-6790025;http://identifiers.org/reactome/R-HSA-6790029;http://identifiers.org/reactome/R-HSA-6797245;http://identifiers.org/reactome/R-HSA-6790036;http://identifiers.org/reactome/R-HSA-2671855;http://identifiers.org/reactome/R-HSA-2672302;http://identifiers.org/reactome/R-HSA-2671868;http://identifiers.org/reactome/R-HSA-2671747;http://identifiers.org/reactome/R-HSA-2671872;http://identifiers.org/reactome/R-HSA-8950782;http://identifiers.org/reactome/R-HSA-6790041;http://identifiers.org/reactome/R-HSA-2895778;http://identifiers.org/reactome/R-HSA-8848150;http://identifiers.org/reactome/R-HSA-6789615;http://identifiers.org/reactome/R-HSA-8950780;http://identifiers.org/reactome/R-HSA-6790022;http://identifiers.org/reactome/R-HSA-3858387
