#Name	NumConnected
USP17L1	8514
MRC1	0
IL4I1	8515
MRC2	0
CDK8	8514
ZNF583	8514
ZNF582	8514
ZNF584	8514
ZNF587	8514
ZNF586	8514
ZNF589	8514
COL4A6	8514
LPAR6	8514
OR8U9	8514
OR8U8	8514
MYDGF	0
OR8U1	8514
MTRF1L	8514
MYO1C	8514
CHMP3	8514
RPL36AL	8514
DENND6B	8515
CHMP6	8514
BCR	8514
DENND6A	8515
OR52N4	8514
OR52N5	8514
OR52N2	8514
CTPS2	8514
CTPS1	8514
OR52N1	8514
SULT6B1	8514
LY6G6C	0
LY6G6D	0
BPI	2
HIST2H2AA3	8514
ATAT1	8514
NUBP2	2
TTYH1	8514
GALNTL5	8515
SRC	8514
GALNTL6	8515
SRF	8514
ZNF320	8514
LCN9	0
SRI	8514
SRM	8514
SRR	8514
LGALS9	2
LGALS3	8514
LGALS1	8514
SRY	8514
TDH	8514
NMS	8514
EIF2AK3	8514
EIF2AK2	8514
TDG	8514
NMB	8514
EREG	8514
TRNT1	0
ASAP1	8514
MYO10	8514
OCRL	8514
ATG101	8514
PLAUR	8514
KRT28	54
HILPDA	0
LOR	8514
SLCO1B3	8515
MPDU1	8514
LOX	8515
LPGAT1	8514
TIMM17B	8514
GCNT4	8514
GCNT7	8514
TIMM17A	8514
GCNT1	8514
GCNT3	8514
AACS	8514
LPCAT4	8514
LPCAT2	8514
LPCAT3	8514
LPCAT1	8514
KRT20	54
MID1IP1	8514
PIGA	8514
PIGB	8516
PIGC	8514
PIGF	8514
CALCRL	8514
PIGH	8514
PIGK	8514
PIGL	8514
PIGM	8516
PIGN	8514
PIGO	8514
PIGP	8514
PIGQ	8514
PIGS	8514
PIGT	8514
PIGU	8514
PIGV	8517
PIGW	8514
PIGX	8516
PIGY	8514
PIGZ	0
ENTPD8	3
JCHAIN	8514
TAX1BP1	8514
TAX1BP3	8514
ANKLE2	8517
RHPN1	8514
CHST11	8514
OLR1	8514
RHPN2	8514
SRRM1	8514
BBIP1	8514
SRRM2	8514
RAET1L	0
ITGAE	8514
PDK1	8515
SUN2	8514
PDK3	8515
PDK2	8515
EBP	8514
PDK4	8515
LNPEP	8514
ALPI	0
SEC61A1	8514
SEC61A2	8514
ALPL	0
PTGS2	8514
PECR	8514
GOLGA4	8514
ZFAND6	8514
PUF60	8514
IGKV1-33	8514
IGKV1-39	8514
CHST13	8514
SLC39A10	8514
SLC39A14	8514
EIF1AX	8514
NTRK1	8514
NTRK2	8514
NTRK3	8514
ARHGAP23	8515
ARHGAP22	8515
ARHGAP21	8515
ARHGAP20	8515
ARHGAP27	8515
ARHGAP26	8515
ARHGAP25	8515
ARHGAP24	8515
ARHGAP29	8515
