#Entity	NumDownstream
http://pathwaycommons.org/pc2/Complex_0c2f08e8c4e39905713b6f1d1a338075	23204
http://pathwaycommons.org/pc2/Protein_94bc91f97190ddf64ea62c216d78e114	22665
http://pathwaycommons.org/pc2/Protein_772166738d6b7f2029277c13fe530e4a	4
http://pathwaycommons.org/pc2/Protein_79c33257bb3311c6f3d921fa49597da9	1335
http://pathwaycommons.org/pc2/Protein_4f01c1684f339500ad7658a19226b7dc	23223
http://pathwaycommons.org/pc2/Protein_dfdbcf5490cb4792b01b3c3c1bf1f9eb	23229
http://pathwaycommons.org/pc2/Protein_9613798dc4064309ba91749a4cab61f5	374
http://pathwaycommons.org/pc2/Protein_eb798a976823e737987d11ad5fa47634	23229
http://pathwaycommons.org/pc2/Complex_e08c55f2dd55059ea2136829ed9229b3	4
http://pathwaycommons.org/pc2/Protein_b2e67a4311a836e05c9a6e55d129b751	23226
http://pathwaycommons.org/pc2/Protein_607bbf8563ec85a2e90694f706692ff9	109
http://pathwaycommons.org/pc2/Complex_550ff16c266f38f059670ae3fd8f07f9	23204
http://pathwaycommons.org/pc2/Complex_4fad267a1f714a9fb795f1dee6997c09	23204
http://pathwaycommons.org/pc2/Protein_d861a01d3704a46cd00f73d67a15af1f	9
http://pathwaycommons.org/pc2/Protein_19cef4e3f5151d8154a9851304293528	0
http://pathwaycommons.org/pc2/PhysicalEntity_0bcf2d0f89e73e38b05ea6b45242fe74	17206
http://pathwaycommons.org/pc2/Complex_60cd1533063f333f1e39a1b6911badcf	22603
http://pathwaycommons.org/pc2/Complex_0aed90bce3a3ef32af42e9d92313ecd4	4
http://pathwaycommons.org/pc2/Protein_748946de54a7fda5288f3cc52cd13a01	22354
http://pathwaycommons.org/pc2/Protein_930c5a1804961678f2b7fd8678f0af2e	2
http://pathwaycommons.org/pc2/SmallMolecule_22bf8726f57526026c11f0c3c3c2623a	20751
http://pathwaycommons.org/pc2/Complex_33e90d652a9d7855bc9c0f92b8d3c95d	22363
http://pathwaycommons.org/pc2/Protein_7e4bc3eae31d18480199c70a2ff47244	21201
http://pathwaycommons.org/pc2/Complex_78bc28187e15a7bb43c208969b3dcef0	23212
http://pathwaycommons.org/pc2/SmallMolecule_44268b6aeaac3b2b0e0f6dcd3cffc3ad	21966
http://pathwaycommons.org/pc2/Protein_6274d09b8075c7a800e86efc80866489	21930
http://pathwaycommons.org/pc2/Protein_5fb131a80d3734277d9415d9a31d9c34	23239
http://pathwaycommons.org/pc2/Protein_b7fdc5c872925956ed0522a503c37f0c	117
http://pathwaycommons.org/pc2/Complex_4f89949b4fc783634936bbee6ea4dc33	6
http://pathwaycommons.org/pc2/Protein_46c95bfc82110c7605a727cd4cc51fb6	21455
http://pathwaycommons.org/pc2/SmallMolecule_69437ffc64dbb57634e5c62a187a38d9	19535
http://pathwaycommons.org/pc2/PhysicalEntity_7c958569af6c3537bc4d05eb39ffa0ca	1
http://pathwaycommons.org/pc2/Protein_a2b0e830208f3a0d4ee216cd9399c93b	21949
http://pathwaycommons.org/pc2/Protein_a21f8037d6f0cbc2426b80f78ea6da84	23207
http://pathwaycommons.org/pc2/Complex_568acd68d24d3bb3dd5926ad3f3287af	2
http://pathwaycommons.org/pc2/Protein_a85ef6cd7c39d03df7df7d83c41b6314	18370
http://pathwaycommons.org/pc2/Protein_483ef3e9816658149381e88fcad13bb6	3
http://pathwaycommons.org/pc2/SmallMolecule_55441464fac83940fc1cecdf1532fcd2	21484
http://pathwaycommons.org/pc2/Protein_a41fad21cd8c37b0677e9b5a64e2171c	23620
http://pathwaycommons.org/pc2/Complex_31bf38ff84abd5af0a9af50322ab1708	13387
http://pathwaycommons.org/pc2/Protein_fe466e85d52e4dd68c805b8c36744070	22566
http://pathwaycommons.org/pc2/Protein_319f79bbb8dee264d3807ab525858216	21391
http://pathwaycommons.org/pc2/Protein_72eee49106b4387201168efbbbd51a55	23244
http://pathwaycommons.org/pc2/Complex_37f1f93109e0a875b9c0a6ee8329a4cd	22332
http://pathwaycommons.org/pc2/PhysicalEntity_e69455f1f21adad2a66a938394d8a59e	3
http://pathwaycommons.org/pc2/Complex_a7c2e8d1ed5b7d273ac02d74bf936aa6	23204
http://pathwaycommons.org/pc2/SmallMolecule_41e43a92ef982f303845863ad4381b0e	0
http://pathwaycommons.org/pc2/Complex_50f6a83b7c719fe7d9d01e361c8a5b32	21484
http://pathwaycommons.org/pc2/SmallMolecule_fa5487b536e0ab1cef83c485d5a73400	0
http://pathwaycommons.org/pc2/Complex_1d6956957f5e2cad4967fe2dc7cf3e71	19333
http://pathwaycommons.org/pc2/Protein_f3cb2f23b6547aeb7a39a3dc855e2e32	6
