#Tail	Head	PosReg	NegReg	ID
http://identifiers.org/reactome/R-HSA-211466	http://pathwaycommons.org/pc2/Protein_1dd2f5a1cfb2ebf6db23b5f299cb22e2	None	None	http://identifiers.org/reactome/R-HSA-211466
http://identifiers.org/reactome/R-HSA-211467	http://pathwaycommons.org/pc2/Protein_d3c79e30fd72e6e21cce245f04c73e29	None	None	http://identifiers.org/reactome/R-HSA-211467
http://identifiers.org/reactome/R-HSA-211476	http://pathwaycommons.org/pc2/Protein_0deb60cd10e1e6c5bcb9525e1522f250	None	None	http://identifiers.org/reactome/R-HSA-211476
http://identifiers.org/reactome/R-HSA-211482	http://pathwaycommons.org/pc2/Protein_87ba79bda2f17caa2460bc87cc824c64	None	None	http://identifiers.org/reactome/R-HSA-211482
http://identifiers.org/reactome/R-HSA-3223236	http://pathwaycommons.org/pc2/SmallMolecule_1d138c60d9ddb27798b66a9e12cb356a	None	None	http://identifiers.org/reactome/R-HSA-3223236
http://identifiers.org/reactome/R-HSA-6790038	http://pathwaycommons.org/pc2/Protein_f28333f227ed2ea0de8deeb8d868325c	None	None	http://identifiers.org/reactome/R-HSA-6790038
http://identifiers.org/reactome/R-HSA-68637	http://pathwaycommons.org/pc2/Protein_1d4b5240cbfc9f319f99e87c053c99a9	None	None	http://identifiers.org/reactome/R-HSA-68637
http://identifiers.org/reactome/R-HSA-994034	http://pathwaycommons.org/pc2/PhysicalEntity_13fb3fa00c9ca04a0d979cc6263acb93	None	None	http://identifiers.org/reactome/R-HSA-994034
http://pathwaycommons.org/pc2/Complex_00118d167c858854768c39355624d71b;http://pathwaycommons.org/pc2/SmallMolecule_22bcc9809859b4bf99d31289a4e27e65	http://pathwaycommons.org/pc2/Complex_001c81624ac27a6c6621793b619bad90;http://pathwaycommons.org/pc2/SmallMolecule_28988650c1a59211862ae7f8ca964636	http://pathwaycommons.org/pc2/Complex_00118d167c858854768c39355624d71b	None	http://identifiers.org/reactome/R-HSA-5682965
http://pathwaycommons.org/pc2/Complex_0019b87fcc7286ceeb4f861edcb20a26	http://pathwaycommons.org/pc2/Complex_a18afd3c6cd4a81beaaaf5741871f3f2;http://pathwaycommons.org/pc2/Complex_f715079b7f7bdebc4eb36ad1b476023a;http://pathwaycommons.org/pc2/Protein_005008fe36ca38811bee4bce93ed2f23;http://pathwaycommons.org/pc2/Protein_3187cc494f2cbdea73d316e6a7be1aaa;http://pathwaycommons.org/pc2/Protein_4fabd572612bd217a656b28a3861747b;http://pathwaycommons.org/pc2/Protein_748946de54a7fda5288f3cc52cd13a01;http://pathwaycommons.org/pc2/Protein_774c944411c73ffc64dd0e29f4b8de4d;http://pathwaycommons.org/pc2/Protein_83ba9bd2d2c094b9e11ca9c8f43f4173	http://pathwaycommons.org/pc2/Complex_a18afd3c6cd4a81beaaaf5741871f3f2;http://pathwaycommons.org/pc2/Protein_433b5400d50edf6935e0266bbe37902a	None	http://identifiers.org/reactome/R-HSA-927830
